Дата проведения,Название выставки,Клуб-организатор
20-21 мая 2017г.,«МАЙ FLOWER 2017»,"Фелинологический центр ""Роскош"";"
20-21 мая 2017г.,«ОЛСК + ФРЕЯ»,ОЛСК при содействии ОФО Фрея;
13-14 мая 2017г.,«КУБОК УРАЛА-2017»,"УРОФО ""Грация"";"
13-14 мая 2017г.,«ВЕСЕННИЙ КУБОК КОТ-ИНФО»,КЛК Фауна ;
13-14 мая 2017г.,«УЛЫБКА МАЙСКОГО КОТА»,"КЛК ""Созвездие Друзей"", КЛК ""Фаворит Лайн"",;"
13-14 мая 2017г.,«AREVIK»,КЛК Arevik;
9 мая 2017г.,«ЭЛИТАР-КЛУБ»,ООЛЖ Элитар-клуб;
7-8 мая 2017г.,«ХРУСТАЛЬНЫЙ КУБОК МОСКВЫ»,"Объединение клубов любителей кошек ""Созвездие"";"
6-8 мая 2017г.,«КУБОК ВАЛЕНСИИ + КОШАРИКИ ШОУ»,МОКЛК Валенсия;
29-30 апреля 2017г.,«АВГУСТЕЙШАЯ ОСОБА»,ФПЦ Августин;
29-30 апреля 2017г.,«ХРУСТАЛЬНЫЙ КУБОК КУРСКА»,"КЛК  ""Глория"";"
29 апреля - 1 мая 2017г.,«КУБОК АСТРЫ»,ВФЦ АСТРА ;
29-30 апреля 2017г.,«ДЕНЬ РОЖДЕНИЯ ЗАЙКИ-КЁРЛ»,ФЦ «Funny Cat» и ООЛЖ «Elitar-Club»;
23 апреля 2017г.,«УДИВИТЕЛЬНЫЕ КОШКИ»,Региональный кинолого-фелинологический центр  «Гранд+»;
22-23 апреля 2017г.,«СОЗВЕЗДИЕ»,Клуб Любителей Кошек «СОЗВЕЗДИЕ»;
22-23 апреля 2017г.,«АК БАРС »,Ak Bars;
22-23 апреля 2017г.,«КЭТ-САЛОН-АПРЕЛЬ»,"Клуб любителей кошек ""Москва"" ;"
22-23 апреля 2017г.,«CAT SUMMIT»,"ФПЦ Грация-НН, КЛК Беллиссимо ;"
22 апреля 2017г.,«ЮБИЛЕЙНАЯ - НАМ 20 ЛЕТ!»,"ФПЦ ""Царство кошек"";"
22-23 апреля 2017г.,«В ГОСТЯХ У САФФИ»,НП Общество любителей кошек «Саффи»;
22-23 апреля 2017г.,«EUROPE CONTINENT SHOW»,КЛК «Танаис Кэт»;
22-23 апреля 2017г.,«ВЕСЕННИЙ МАРАФОН»,КЛК Инфинити;
22-23 апреля 2017г.,«ВЕСЕННЕЕ РАНДЕВУ»,клуб любителей кошек «СОЗВЕЗДИЕ +»;
22-23 апреля 2017г.,«ЗОЛОТОЙ КЛЮЧИК — 2017»,КЛК Элит ;
22 апреля 2017г.,«ВЕСЕННЯЯ КОТОВАСИЯ»,КЛК TRI-S Cat Club;
22-23 апреля 2017г.,«VICTORY CAT CLUB»,Victory Cat Club;
15-16 апреля 2017г.,« КУБОК КОТ-ИНФО-АПРЕЛЬ »,"КЛК Фауна, Кот-Инфо ;"
15-16 апреля 2017г.,«ГРАН-ПРИ ПОВОЛЖЬЯ»,КЛК Kadis;
15 апреля 2017г.,«ВСЕМИРНАЯ»,"КЛК Москва, КЛК Котофей, КЛК Добрый Кот ;"
15-16 апреля 2017г.,«СУПЕР КОТ»,КЛК Супер Кот ;
15-16 апреля 2017г.,«ЛИДЕР»,ФЦ «Лидер»;
8-9 апреля 2017г.,«АЛТАЙ-МЯУ»,Клуб Любителей кошек Белая Лиса;
8-9 апреля 2017г.,«САЛАТОВОЕ НАСТРОЕНИЕ»,"Клуб любителей кошек ""Параллель"";"
8-9 апреля 2017г.,«ВЕСЕННЕЕ ОБОСТРЕНИЕ»,РПФЦ Артемида ;
8-9 апреля 2017г.,«ВЕСЕННИЙ  КАРНАВАЛ-2017»,КЛК Царство Кошек ;
8-9 апреля 2017г.,«АЛИСА + ФАВОРИТ»,"ФЦ ""Алиса"" (г.Москва) совместно с КЛК ""Фаворит"" (г.Ижевск) ;"
8-9 апреля 2017г.,«TOP CAT БЕЛАРУСИ 2017»,"Белорусский Фелинологический Центр ""ФЕЛИТА"";"
8-9 апреля 2017г.,«КУБОК «ВАЛЕНСИИ»»,МОКЛК Валенсия ;
8-9 апреля 2017г.,«ВЫЕЗДНАЯ КЛК ФАУНА»,КЛК Фауна и Кот-Инфо ;
8-9 апреля 2017г.,«ВЕСЕННЯЯ РАПСОДИЯ-3 КОТА-МЕЛОДИЯ»,Кошкин Дом;
8-9 апреля 2017г.,«МАГИЯ КОШЕК »,КЛК Фрейя ;
8-9 апреля 2017г.,«АЛТАРГАНА»,КЛК «Алтаргана»;
1-2 апреля 2017г.,«ЙОШКИН КОТ»,КЛК Йошкин кот;
1-2 апреля 2017г.,«ЮБИЛЕЙНАЯ ВЕСНА - 2017»,Объединение Любителей Сибирских Кошек им. Т.Е. Павловой;
1-2 апреля 2017г.,«СИБИРИАДА 2017»,клуб любителей кошек «Котомир»;
1-2 апреля 2017г.,«КУБОК ОРЛА ’2017»,LORD CATS и Super Cats Oryl;
1-2 апреля 2017г.,«КУБОК ПРИКАМЬЯ»,"Клуб Любителей Кошек ""Элитар"";"
1-2 апреля 2017г.,«ФЕЛИСИТИ»,"Клуб ""ФелиСити"";"
1-2 апреля 2017г.,«ВЕСЕННИЙ ВЕРНИСАЖ»,Фелинологический Племенной Центр «КЭТТИ»;
1 апреля 2017г.,«СМЕХ ПО ПРИЧИНЕ»,КЛК ЭльГранд ;
1 апреля 2017г.,«КЛК ЭЛИТАР ДВ»,клк ЭЛИТАР ДВ;
1-2 апреля 2017г.,«РОСКОШ + АЛИСА-БЕСТ»,"Фелинологический центр ""Роскош"" (г. Москва) при поддержке Клуба любителей кошек ""Алиса-Бест"" (г.Ярославль);"
26 марта 2017г.,«САНТАНА »,"ФПЦ ""Сантана"";"
25-26 марта 2017г.,"«FACTOR B: «ВЕСНА, КОТЫ,ЦВЕТЫ»",Клуб породистых кошек «БОГЕМА»;
25-26 марта 2017г.,«КУБОК ТЕКСТИЛЬНОГО КРАЯ»,Клуб «СОЗВЕЗДИЕ»;
25-26 марта 2017г.,«МАРТМЯУ»,"КЛК ""Камея"";"
25-26 марта 2017г.,«ЦВЕТОК САКУРЫ»,КЛК Превосходные кошки ;
25-26 марта 2017г.,«ВСТРЕЧИ ДРУЗЕЙ»,КЛК Евразия ;
25-26 марта 2017г.,«ВЕСЕННИЙ КОТ»,Фелинологическая ассоциация заводчиков «Алиса»;
25-26 марта 2017г.,«КОШАЧЬИ АССАМБЛЕИ 2017»,Объединение любителей кошек “Эйлур”;
25-26 марта 2017г.,«В ГОСТЯХ У СКАЗКИ»,"Клуб Любителей Кошек ""Гарфилд и Ко"";"
25-26 марта 2017г.,«CHER AMI»,Клуб любителей кошек Cher ami;
25-26 марта 2017г.,«ЗОЛОТОЙ КУБОК УРАЛА-2017»,КЛК Катус ;
25-26 марта 2017г.,«КЭТ»,ЧГООЛК «КЭТ» (г. Череповец) и Элитар клуб (г. Пенза) ;
18-19 марта 2017г.,«ЗАМУРЧАТЕЛЬНЫЙ МАРТ»,НП КЛК «Инфинити»;
18-19 марта 2017г.,«КЭТ-САЛОН-МАРТ»,"Клуб любителей кошек ""Москва"";"
18-19 марта 2017г.,«КОСМОКОТ 2017»,"Клуб Любителей Кошек ""ПРОГРЕСС"";"
18 марта 2017г.,«LIGA CHAMPIONOV - 2017»,"ФПЦ ""Альянс "";"
18-19 марта 2017г.,«ЗАМУРЧАТЕЛЬНЫЕ КОШКИ»,Клуб Любителей Кошек «Плескава»;
11-12 марта 2017г.,«ВЛАДИМИРСКАЯ ВЕСНА-2017»,КЛК «Мономах»;
11-12 марта 2017г.,«МАРТОВСКИЕ КОШКИ»,КЛЖ Бон-Ами;
11-12 марта 2017г.,«ЗООМИР ЮГА РОССИИ»,"КЛК «ИРБИС»,ФЦ «РосКош», ФЦ «Гарфильд»;"
11-12 марта 2017г.,«ЛИЛОВЫЙ МАРТ »,Association Fancy Cat & Veles;
11-12 марта 2017г.,«CОЗВЕЗДИЕ СИБИРИ»,ФПЦ «ZOOSTAR»;
11-12 марта 2017г.,«МЕГАКЕТ»,КЛК «МЕГАКЕТ»;
11-12 марта 2017г.,«FELICITY»,КЛК FeliCity;
8 марта 2017г.,«ВЕСЕННИЙ АЛЬЯНС»,ФК Альянс;
5 марта 2017г.,«ВЕСЕННИЙ ВЕРНИСАЖ»,КРОО Ковчег;
4-5 марта 2017г.,«КУБОК БЕЛОГО ГОРОДА»,Кошки Белогорья;
4-5 марта 2017г.,«БОГИНЯ-КОШКА»,Мега-Центр;
4-5 марта 2017г.,«МАРТОВСКИЙ КОТ»,клуб любителей кошек «Маргоша Кэт»;
4-5 марта 2017г.,«КОРОЛЕВСКОЕ ШОУ ЦВЕТОВ И КОШЕК»,КЛК Королевские Кошки;
4-5 марта 2017г.,«КЭТСБУРГ»,ООО «Супрэмо»;
4-5 марта 2017г.,«КОШАЧИЙ ЛЯ'МУРР»,Funny Cat Club;
4-5 марта 2017г.,«ВЕСЕННЯЯ КОТОВАСИЯ»,КЛК Мечта;
4-5 марта 2017г.,«ВЕСЕННИЙ АЛЬЯНС-2017»,ФК Альянс;
4-5 марта 2017г.,«В ГОСТЯХ У САФФИ - 25 ЛЕТ В WCF»,Общество любителей кошек «Саффи»;
26 февраля 2017г.,«ТРИУМФ КЭТ»,КЛК Триумф Кэт+;
26 февраля 2017г.,"«ВО, БЛИН, КОТ!»",Клуб любителей кошек «Барс»;
25 февраля 2017г.,"«УХ-ТЫ, МАСЛЕНИЦА!»","ЦКФ ""Зоосфера"";"
25-26 февраля 2017г.,«АК БАРС»,"Межрегиональный фелинологический центр ""АК БАРС"";"
25-26 февраля 2017г.,«ВСЁ КОТУ МАСЛЕНИЦА»,Union Cats;
25-26 февраля 2017г.,«КЭТ-САЛОН-ФЕВРАЛЬ»,"Клуб любителей кошек ""Москва"" ;"
25-26 февраля 2017г.,«CAT-EXPO 2017»,КЛК КЭТ;
25 февраля 2017г.,«ПАРАД НА АЛЛЕЕ КОШЕК»,"КЛК ""Аллея Кошек"";"
24-26 февраля 2017г.,«МОРОЗНЫЙ ИНЕЙ ФЕВРАЛЯ»,клуб любителей кошек «КОТОФЕЙ»;
24-26 февраля 2017г.,«ВСЕ КОТУ! МАСЛЕНИЦА!»,Фелинологический племенной центр «Catland NN»;
23-24 февраля 2017г.,«ЗИМНИЙ  КУБОК КОТ-ИНФО»,"КЛК ""ФАУНА"";"
18-19 февраля 2017г.,«ЕВРАЗИЯ – 2017»,"УРОФО ""Грация"";"
18-19 февраля 2017г.,«КУБОК МАРИЙ ЭЛ»,Фелинологический центр ЙОШКИН КОТ;
18-19 февраля 2017г.,«ФЕЛИНОЛОГ»,КЛК Фелинолог;
18-19 февраля 2017г.,«МЕЖДУНАРOДНЫЙ ФЕСТИВАЛЬ»,ОФО «ФРЕЯ»;
18-19 февраля 2017г.,«КУБОК ФАРУС»,КЛК Лой;
18-19 февраля 2017г.,«SHOW CAT LOVERS»,"Фелинологический племенной центр ""Грация-НН"";"
18-19 февраля 2017г.,«АЛЬФА КОТ»,Альфа Кот;
18-19 февраля 2017г.,«ПРЯНИЧНЫЕ КОШКИ»,"Тульский клуб ""МИКС"";"
18-19 февраля 2017г.,«CATS LOVE-2017»,КЛЖ Иремель;
12 февраля 2017г.,«МУУР»,"Клуб любителей кошек ""Мурр"".;"
11-12 февраля 2017г.,«МАТИЛЬДА В ЗИМНЕЙ СКАЗКЕ!»,КЛК Матильда;
11 февраля 2017г.,«ГЛАМУРНЫЕ И РОСКОШНЫЕ!»,БМОО КЛК Василевс;
11-12 февраля 2017г.,«КОШАРИКИ ШОУ!»,МОКЛК Валенсия;
11-12 февраля 2017г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,РФОО «Коргоруши»;
11-12 февраля 2017г.,«ДЕНЬ ВЛЮБЛЕННЫХ В КОШEК»,КЛК ФелиСити;
11-12 февраля 2017г.,«КОТОФЕСТИВАЛЬ»,Феличита;
11 февраля 2017г.,«ВЛЮБЛЁННЫЙ КОТ — 2017»,КЛК Элит;
10-12 февраля 2017г.,«КУБОК-LEORUSS-2016»,ВРОО КЛК Leoruss;
4-5 февраля 2017г.,«АМУР-НЕВА»,Клуб любителей кошек Амур-Нева;
4 февраля 2017г.,«VALENTINE CAT`S»,КЛК Премьер и КЛК Мандарин;
4-5 февраля 2017г.,«РОСКОШНАЯ ЗИМА В СОКОЛЬНИКАХ»,КЛК РосКош;
31 января 2017г.,«ЗИМНИЙ  КАРНАВАЛ-2017»,КЛК Царство Кошек;
7-8 января 2017г.,«ЛУЧШАЯ КОШКА БЕЛАРУСИ»,"Белорусский Фелинологический Центр  ""ФЕЛИТА"";"
6-7 января 2017г.,«АК БАРС»,АК БАРС;
5-6 января 2017г.,«КУБОК КАМЕННЫЙ ЦВЕТОК»,"Cat-Info, КЛК Элиткэт;"
5-6 января 2017г.,«НОВОГОДНИЙ КУБОК КОТ-ИНФО»,КЛК Фауна;
5-6 января 2017г.,«ГРАН-ПРИ СИБИРИ 2017»,Королевская династия;
5-6 января 2017г.,«РОЖДЕСТВЕНСКАЯ СКАЗКА»,КЛК Олимпия К;
4-5 января 2017г.,«НОВОГОДНИЙ КАРНАВАЛ»,Кошачье Царство;
4-5 января 2017г.,«КУБОК ЧЕРНОЗЕМЬЯ 2017»,КЛК Баст;
4-5 января 2017г.,«ЗИМНЯЯ СКАЗКА»,Смоленский Фелинологический Племенной Центр «КЭТТИ»;
4-6 января 2017г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ»,КЛК Диамант-Кристалл;
3-5 января 2017г.,«ЗИМНЯЯ ВИШНЯ -2017»,ФЦ «Самарис»;
3-5 января 2017г.,«ФЕЛИСИТИ»,"Клуб ""ФелиСити"";"
24-25 декабря 2016г.,«ЗИМНИЕ ЗАБАВЫ»,СФ Белтон;
24-25 декабря 2016г.,«НОВОГОДНЕЕ ШОУ ЦВЕТОК САКУРЫ!!!»,"КЛК ""Превосходные кошки"";"
24-25 декабря 2016г.,«КОШАЧИЙ КАРНАВАЛ»,"КЛК ""Funny Cat Club"";"
24-25 декабря 2016г.,«СУПЕР КОТ»,Супер Кот;
24-25 декабря 2016г.,«РОЖДЕСТВЕНСКАЯ ЗВЕЗДА»,КЛК ФелиСити;
24-25 декабря 2016г.,«ТРИУМФ»,Племенной Фелинологический клуб «Триумф»;
24-25 декабря 2016г.,«РОСКОШ+АЛИСА-БЕСТ»,"Фелинологический центр ""Роскош"" (г. Москва) при поддержке Клуба любителей кошек ""Алиса-Бест"" (г.Ярославль) ;"
12-13 ноября 2016г.,«ОПЕРАЦИЯ КОТЫ»,Магия кошек;
12 ноября 2016г.,«ОСЕННИЙ ВЕРНИСАЖ»,Амиго;
12 ноября 2016г.,«КЛК ЭЛИТАР ДВ»,клк ЭЛИТАР ДВ;
5-6 ноября 2016г.,«ОРЕНБУРГСКАЯ ОСЕНЬ 2016»,"КЛК ""Евразия"";"
9 октября 2016г.,«ОСЕННИЙ КОШКЕНТ-2016»,ФО Caravan Cats;
8-9 октября 2016г.,«ЮБИЛЕЙНАЯ ОСЕНЬ!»,"ВГОО ФЦ ""Зоомир"";"
8-9 октября 2016г.,«ЭТА РЫЖАЯ КОШКА ОСЕНЬ»,"Белорусский Фелинологический Центр ""Фелита"";"
8-9 октября 2016г.,«KOT DA VINCI-VIII»,ООЛЖ «Элитар-Клуб»;
8-9 октября 2016г.,«ЯРМАРКА-ПРОДАЖА ПОРОДИСТЫХ КОТЯТ»,Чеширский кот;
8-9 октября 2016г.,«В ГОСТЯХ У САФФИ»,КЛК Саффи;
8-9 октября 2016г.,«РОСКОШ»,"ФЦ ""Роскош"", при поддержке КЛК ""Алиса-Бест"" (г.Ярославль) ;"
1-2 октября 2016г.,«КЭТ-ВЕРНИСАЖ КОСТРОМСКАЯ ОСЕНЬ»,"Клуб любителей животных ""БОН-АМИ"";"
1-2 октября 2016г.,«КУБОК СТАУТ – 2016»,КЛК «ИРБИС» + «РосКош»;
1-2 октября 2016г.,«КОШАРИКИ ШОУ!»,МОКЛК Валенсия;
1-2 октября 2016г.,«КОРГОРУШИ»,РФОО «Коргоруши»;
1-2 октября 2016г.,«ОСЕННИЕ СМОТРИНЫ»,«РосКош» г.Москва при содействии клуба «РосКэт» г.Рязань;
1-2 октября 2016г.,«КОРОЛЕВСКИЙ БАРХАТ»,"ФПЦ ""Королевский бархат"";"
30 сентября 2016г.,«ОСЕНЬ С МАТИЛЬДОЙ!»,КЛК Матильда;
24-25 сентября 2016г.,«КОТ УЧЁНЫЙ»,КЛК «Параллель»;
10-11 сентября 2016г.,«ЦВЕТОК САКУРЫ - ОСЕНЬ»,"КЛК ""Превосходные кошки"";"
10-11 сентября 2016г.,«ЗОЛОТАЯ КОШКА ВОЛГОГРАДА»,"МФЦ ""МЕГА-ЦЕНТР"";"
10-11 сентября 2016г.,«СЕРЕБРИСТЫЙ ЮБИЛЕЙ»,"КЛК ""Менуэт"";"
10-11 сентября 2016г.,«СЕЗОН РУССКОЙ КОШКИ - 2016»,Объединение Любителей Сибирских Кошек им. Павловой Т.Е.;
10-11 сентября 2016г.,«ОСЕННИЙ ВЕРНИСАЖ КОШАЧЬИХ»,КЛК “FELIDAE”;
10-11 сентября 2016г.,«ЗОЛОТОЙ МЯУФОН»,"КЛК ""Dennis-N"";"
10-11 сентября 2016г.,«БАРХАТНЫЙ СЕЗОН»,"Фелинологический племенной центр ""Грация-НН"";"
10-11 сентября 2016г.,«МЕГАКЕТ»,КЛК Мегакет;
10-11 сентября 2016г.,«В ГОСТЯХ У САФФИ»,Саффи;
10 сентября 2016г.,«ДИАМАНТ-КРИСТАЛЛ»,КЛК Диамант-Кристалл;
10-11 сентября 2016г.,«ПЛАНЕТА КОШEК»,КЛК ГлаМурр;
10-11 сентября 2016г.,«СЕРЕБРЯННАЯ КОШКА - 2016»,"КЛУБ ""КАТУС"";"
3-4 сентября 2016г.,«WCF WORLD CAT SHOW 2016»,Королевские Кошки;
3-4 сентября 2016г.,«КУБОК «ВАЛЕНСИИ» - ЮБИЛЕЙ 25 ЛЕТ»,МОКЛК Валенсия;
9-10 июля 2016г.,«ХРУСТАЛЬНЫЙ КУБОК МОСКВЫ»,КЛК Созвездие;
9-10 июля 2016г.,«КОТОФЕЙ НА ДАЧЕ»,САНКТ-ПЕТЕРБУРГСКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОФЕЙ»;
9-10 июля 2016г.,«БАЛ-МАСКАРАД»,"Клуб Любителей Кошек ""МАРКИЗА"";"
14-15 мая 2016г.,«WESTERN CAT SHOW»,Магия кошек;
2-3 мая 2016г.,«CИМБИРЦИТОВАЯ КОШКА»,"Фелинологический центр ""Богема"";"
30 апреля - 1 мая 2016г.,«СИБИРИАДА 2016»,Новосибирский клуб любителей кошек «Котомир»;
24 апреля 2016г.,«АПРЕЛЬ-КОТЫ ПРИЛЕТЕЛИ»,Клуб любителей кошек «БАСТ»;
23-24 апреля 2016г.,«TOP CAT KAZAKHSTAN»,CKF Arko & K ;
23-24 апреля 2016г.,«КЭТ-ПАРАД-IV»,"КЛК ""Амулет-Кэт"";"
23-24 апреля 2016г.,«ПАРАЛЛЕЛЬ»,КЛК «Параллель»;
23-24 апреля 2016г.,«ВЕСЕННИЙ КАРНАВАЛ 2016»,Царство Кошек ;
23-24 апреля 2016г.,«ФЕЛИТА АПРЕЛИССИМА 2016»,"Белорусский Фелинологический Центр ""ФЕЛИТА"";"
23 апреля 2016г.,«ДВЕРИ В ЛЕТО»,Фелинологический Племенной Центр «ЦАРСТВО КОШЕК»;
23-24 апреля 2016г.,«В ГОСТЯХ У САФФИ»,НП Общество любителей кошек «Саффи»;
23-24 апреля 2016г.,«ТАНАИС КЭТ»,КЛК «Танаис Кэт»;
23-24 апреля 2016г.,«ВЕСЕННИЕ СМОТРИНЫ»,Клуб организатор «РосКош» г.Москва при содействии клуба «РосКэт»;
23-24 апреля 2016г.,«СУПЕР КОТ»,Супер Кот;
23-24 апреля 2016г.,«ЗОЛОТАЯ КОШКА 2016»,Элитар-клуб;
23-24 апреля 2016г.,«ЭЛИТ»,"Клуб Любителей Кошек ""Элит"";"
23-24 апреля 2016г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ»,Victory Cat Club ;
16-17 апреля 2016г.,«СОЗВЕЗДИЕ»,Клуб Любителей Кошек «СОЗВЕЗДИЕ»;
16-17 апреля 2016г.,«АВГУСТЕЙШАЯ ОСОБА»,Августин;
16-17 апреля 2016г.,«ПЛЕМЕННОЙ СМОТР»,Night Hunter ;
16-17 апреля 2016г.,«МОСКОВСКИЙ  ФЕСТИВАЛЬ»,РОО ОКЛК Созвездие ;
16-17 апреля 2016г.,«ГРАН-ПРИ ПОВОЛЖЬЯ»,"KLK Felidae (г.Москва) , KLK Kadis (г.Нижний Новгород);"
16-17 апреля 2016г.,«10 ЛЕТ КОШКЕ СОНЕ»,Амур-Нева ;
16 апреля 2016г.,«МАГИЯ КОШEК»,Клуб Любителей Кошек «ФРЕЙЯ»;
16-17 апреля 2016г.,«ПРЯНИЧНЫЕ КОШКИ»,"клуб ""МИКС"";"
26-27 марта 2016г.,«МВК»,"КЛК ""Евразия"";"
13 марта 2016г.,«БАРС»,Клуб любителей Кошек «Барс»;
12-13 марта 2016г.,«ЛЮКС»,клуб любителей кошек «ЛЮКС»;
12-13 марта 2016г.,«ВЕСЕННЯЯ КАПЕЛЬ - 2016»,"УРОФО ""Грация"";"
12-13 марта 2016г.,«KRASNODAR – МФА – ВЕСНА 2016 »,Клуб Любителей Кошек «Аргус»;
12-13 марта 2016г.,«В ОТПУСК С UNION CATS»,Union Cats;
12-13 марта 2016г.,«КЭТ-САЛОН-МАРТ»,"Клуб любителей кошек ""Москва"";"
12-13 марта 2016г.,«МЯЯРТ - НАШЕ ВРЕМЯ?!»,Association Fancy Cat & Veles ;
12-13 марта 2016г.,«ВЕСЕННИЙ МАРАФОН»,"КЛК ""ФелиСити"";"
12-13 марта 2016г.,«КОШАЧЬИ АССАМБЛЕИ»,Объединение любителей кошек “Эйлур”;
12-13 марта 2016г.,«CИМБИРЦИТОВАЯ КОШКА»,"Фелинологический центр ""Богема"" ;"
12-13 марта 2016г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ»,ФФРБ;
12-13 марта 2016г.,«ВЕСЕННИЙ АЛЬЯНС-2016»,ФК Альянс ;
8 марта 2016г.,«ПРЕВОСХОДНЫЕ КОШКИ»,"Ассоциация КЛК ""Превосходные кошки"";"
6-7 марта 2016г.,«КУБОК БЕЛОГО ГОРОДА»,Кошки Белогорья;
6-7 марта 2016г.,«ЗОЛОТАЯ КОШКА - ЕКАТЕРИНБУРГ»,"Сat-Info, КЛК Элиткэт ;"
6-7 марта 2016г.,«АК БАРС»,"Межрегиональный фелинологический центр ""АК БАРС"";"
6-7 марта 2016г.,«СОЗВЕЗДИЕ СИБИРИ 2016»,ZOOSTAR;
6-7 марта 2016г.,«КОШАЧИЙ ЛЯ’МУРР»,КЛК «Funny Cat club»;
6-7 марта 2016г.,«LADIES AND CATS»,КЛК Бисер ;
6-8 марта 2016г.,«ВЕСЕННИЕ НАПЕВЫ»,"АЗМ ""Cooncat"" , ОЛСК ;"
6 марта 2016г.,«ДРУЖЕСКИЕ ВСТРЕЧИ»,Топ Лайн ;
5-6 марта 2016г.,«100-Я»,Кошачье Царство;
5-6 марта 2016г.,«КЭТСБУРГ-2016»,"РосКош, Фелидае, Кристалл, Ша-Нуар, СуперКэтс ;"
5-6 марта 2016г.,«ВЕСЕННИЙ МАРАФОН»,"Клуб ""ФелиСити"";"
22-23 февраля 2016г.,«ЗИМНИЙ АЛЬЯНС-2016»,ФК Альянс ;
22-23 февраля 2016г.,«МОРОЗНЫЙ ИНЕЙ ФЕВРАЛЯ»,КОТОФЕЙ;
21-22 февраля 2016г.,«ЕВРАЗИЯ-2016»,"УРОФО ""Грация"";"
21-22 февраля 2016г.,«МИСТЕР КОТ + КОШАРИКИ ШОУ»,Не указано
21-22 февраля 2016г.,«ЭКЗОТИКА – CAT’S – 2016»,ВЕРТИКАЛЬ;
13-14 февраля 2016г.,«ДЕНЬ СВЯТОГО ВАЛЕНТИНА»,МЯУ-Клуб;
13 февраля 2016г.,««С ЛЮБОВЬЮ К КОШКЕ» И «МУРЧАНИЕ ВЕСНЫ» »,Абсолютный кот;
13-14 февраля 2016г.,«АМУРРРНОЕ ШОУ»,"КЛК ""МАНДАРИН"";"
13-14 февраля 2016г.,«КУБОК МАРИЙ ЭЛ»,ФЦ Йошкин кот ;
13-14 февраля 2016г.,«ФЕЛИНОЛОГ»,БАЛК ФЕЛИНОЛОГ;
13-14 февраля 2016г.,«ZOOFEST 2016»,ОФО Фрея + Клуб Эдельвейс ;
13 февраля 2016г.,«КОШАЧЬИ ВАЛЕНТИНКИ - 2015»,Багира ;
13-14 февраля 2016г.,«ЛЮБОВЬ И КОШКИ»,"КЛК ""Yugra Cat Club"";"
13-14 февраля 2016г.,«МАГИЯ КОШEК»,Клуб Любителей Кошек «ФРЕЙЯ»;
6-7 февраля 2016г.,«КУБОК ВЕЛИКОГО НОВГОРОДА»,"КЛК ""Амур-Нева"";"
6-7 февраля 2016г.,«ЗИМЫ ОЧАРОВАНИЕ»,"ФФРБ, ФК Veritas-Cats ;"
6-7 февраля 2016г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,РФОО «Коргоруши»;
6-7 февраля 2016г.,«ФЕЛИЧИТА»,Феличита ;
30-31 января 2016г.,«КАРНАВАЛ ОГНЕННОЙ ОБЕЗЪЯНЫ»,Koshemir;
30-31 января 2016г.,«РОСКОШНАЯ ЗИМА В СОКОЛЬНИКАХ»,РосКош ;
30-31 января 2016г.,«ЗИМНЯЯ ЖЕМЧУЖИНА»,"КЛК ""Ауринко"";"
30-31 января 2016г.,«СУПЕР КОТ»,Супер Кот;
23-24 января 2016г.,«СОЗВЕЗДИЕ»,Клуб Любителей Кошек «СОЗВЕЗДИЕ»;
23-24 января 2016г.,«НОВОГОДНИЙ  КУБОК КОТ-ИНФО»,"КЛК ""ФАУНА"";"
23-24 января 2016г.,«КУБОК БАШКОРТОСТАНА»,ФФРБ;
16-17 января 2016г.,«SHOW MUST GO ON»,Best BY Cats;
16-17 января 2016г.,«КЭТ-САЛОН-ЯНВАРЬ»,"клуб любителей кошек ""Москва"";"
9-10 января 2016г.,«СВЯТОЧНЫЙ БАЛ»,Магия кошек;
9-10 января 2016г.,«РУССКАЯ ЗИМА 1000 И 1 НОЧЬ»,"ТИКА клуб Джеткет, ФИфе клуб Фелидае и ВЦФ клуб Мистикет;"
9-10 января 2016г.,«ЗИМНИЙ КОТ»,Фелинологическая ассоциация заводчиков «Алиса»;
8-9 января 2016г.,«КУБОК FARUS»,КЛК «Маргоша Кэт»;
8-9 января 2016г.,«ЗВЕЗДНЫЙ МАСКАРАД»,Клуб любителей кошек «Олимпия К»;
7-8 января 2016г.,«ЗИМНИЙ АЛЬЯНС-2016 В СОКОЛЬНИКАХ»,ФК Альянс ;
7 января 2016г.,«ЗИМНЯЯ СКАЗКА»,КЛК «Экстра-Кэт»;
6 января 2016г.,«ОЛЬФ»,Клуб Ольф ;
5-7 января 2016г.,«АК БАРС»,"фелинологический центр ""АК БАРС"";"
5-6 января 2016г.,«ГРАН-ПРИ СИБИРИ 2016»,клуб «Королевская династия»;
4-6 января 2016г.,«КУБОК КАМЕННЫЙ ЦВЕТОК»,КЛК « ЭЛИТКЭТ»;
4-5 января 2016г.,«ЮБИЛЕЙНЫЙ 15-Й  КУБОК ЧЕРНОЗЕМЬЯ»,"клуб любителей кошек ""Баст"";"
